"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000200999_x_st",0.0926470588235294,1.01333333333333,0.860503824196611,0.39671875622515,0.873833856150052,-5.55354105876168
"csi-miR169_st",-0.078470588235294,0.652592592592593,-0.860463395464675,0.396740658826748,0.873833856150052,-5.55357353395594
"dsi-miR-184-star_st",0.135352941176471,1.07222222222222,0.860302940823499,0.396827594042257,0.873932372073918,-5.55370240815921
"bmo-miR-10-star_st",0.0858235294117647,0.797037037037037,0.860000619022433,0.396991426572065,0.874200199787426,-5.55394516570593
"cel-miR-63_st",0.074705882352941,0.867037037037037,0.85946579123764,0.397281362712739,0.874657274042224,-5.55437442269493
"bfl-miR-190_st",0.0591176470588237,0.622222222222222,0.859383823033114,0.39732581048264,0.874657274042224,-5.55444018870812
"bmo-miR-2819_st",-0.0772352941176474,0.82037037037037,-0.859319867181688,0.397360493135925,0.874657274042224,-5.55449149864913
"ENSG00000238947_st",-0.101647058823529,1.26,-0.859306098777986,0.39736795986261,0.874657274042224,-5.5545025441713
"ENSG00000207027_st",-0.0891764705882354,0.901851851851852,-0.858995138939491,0.397536619862931,0.87484947843626,-5.55475196307476
"eca-miR-1597_st",-0.0820000000000001,0.76037037037037,-0.858972014826072,0.397549163854914,0.87484947843626,-5.55477050736883
"sme-miR-277d-5p_st",0.0625294117647058,0.74037037037037,0.858866260604111,0.397606534884778,0.87484947843626,-5.55485531054567
"ptr-miR-631_st",-0.0894705882352942,0.746666666666667,-0.858833543422987,0.397624284823899,0.87484947843626,-5.55488154410276
"osa-miR813_st",0.0787647058823531,0.612592592592593,0.858648093956788,0.397724905592031,0.874977889416552,-5.55503022484795
"sme-miR-2156b-star_st",-0.102352941176471,0.795555555555556,-0.858546157569055,0.39778022090182,0.875004064291141,-5.55511193756625
"hsa-miR-320e_st",-0.163294117647057,7.12518518518519,-0.85839671086846,0.397861326293972,0.875004064291141,-5.55523171820528
"aae-miR-308-star_st",-0.0868823529411766,0.886296296296296,-0.858377236931822,0.397871895659604,0.875004064291141,-5.55524732499721
"hp_hsa-mir-365-1_x_st",0.123588235294118,1.12481481481481,0.858129875479649,0.398006165160219,0.875004064291141,-5.55544553614279
"ppy-miR-519f_st",0.0855294117647061,0.621851851851852,0.858026903468512,0.398062067556133,0.875004064291141,-5.55552803186225
"oan-miR-1353_st",-0.0747647058823531,0.775925925925926,-0.857911963280473,0.398124473233063,0.875004064291141,-5.55562010479346
"U38A_x_st",-0.127470588235294,6.55074074074074,-0.857877874105242,0.398142982819034,0.875004064291141,-5.5556474097122
"gga-miR-1798-star_st",0.0641176470588236,0.79037037037037,0.857756815904358,0.398208718866695,0.875004064291141,-5.55574436722585
"ppy-miR-519b-5p_st",0.0825882352941175,0.63,0.857563683720854,0.398313606207414,0.875004064291141,-5.55589902319316
"hp_hsa-mir-323_st",-0.0895882352941177,0.862592592592593,-0.857538749352515,0.398327148985855,0.875004064291141,-5.55591898768146
"U85_st",-0.136,1.44037037037037,-0.857514293410731,0.398340432196974,0.875004064291141,-5.55593856856915
"cte-miR-2715_st",0.074294117647059,0.637777777777778,0.857497542557594,0.398349530562006,0.875004064291141,-5.55595197999792
"1367544_st",-0.0715882352941175,0.785925925925926,-0.857409955839271,0.398397106163176,0.875004064291141,-5.55602210152762
"osa-miR812b_st",-0.0804117647058823,0.67037037037037,-0.857350926661527,0.398429171832516,0.875004064291141,-5.55606935619858
"ppy-miR-219-5p_st",-0.0718235294117645,0.787777777777778,-0.857343129605167,0.3984334074507,0.875004064291141,-5.55607559775176
"hsa-miR-27b-star_st",0.25235294117647,2.49888888888889,0.85730423383907,0.398454537340508,0.875004064291141,-5.55610673305839
"oan-miR-130c-star_st",0.0735294117647061,0.696296296296296,0.857249276649942,0.398484393713314,0.875004064291141,-5.55615072294537
"hp_mmu-mir-376c_st",0.083058823529412,0.816296296296296,0.857209251788602,0.398506138753315,0.875004064291141,-5.55618275873369
"ENSG00000221400_st",0.0620000000000001,0.717037037037037,0.857092029550806,0.398569828558229,0.875004064291141,-5.55627657494972
"bta-miR-1256_st",-0.0935882352941176,0.944074074074074,-0.856980698237482,0.398630323653897,0.875004064291141,-5.55636566525979
"mtr-miR2593b_st",0.0724705882352943,0.72962962962963,0.856963949954444,0.398639424822914,0.875004064291141,-5.55637906673896
"hsa-miR-647_st",0.0744705882352941,0.798888888888889,0.85690957725412,0.398668972350398,0.875004064291141,-5.55642257245301
"aga-let-7_st",-0.250176470588236,2.67148148148148,-0.856836386095657,0.398708748507047,0.875004064291141,-5.55648113142524
"osa-miR160d_st",0.143058823529412,0.884074074074074,0.8566716833107,0.398798266390249,0.875041836124892,-5.55661288995565
"v49_ENSG00000200385_st",0.0621764705882354,0.718148148148148,0.856649212700774,0.398810480416817,0.875041836124892,-5.55663086408188
"mml-miR-382_st",0.26570588235294,3.6562962962963,0.856347875593402,0.398974296823075,0.875073828390894,-5.55687185900763
"mmu-miR-705_st",0.251529411764706,7.40037037037037,0.856287002157437,0.3990073947331,0.875073828390894,-5.55692053291702
"ENSG00000252230_st",-0.0614117647058823,0.763333333333333,-0.856270183921439,0.399016539397584,0.875073828390894,-5.55693398006611
"ppy-miR-582-5p_st",0.078529411764706,0.734444444444444,0.856259167912065,0.399022529260086,0.875073828390894,-5.55694278786516
